Model,MAE,RMSE,R2
Gradient Boosting,2.952333240738951,4.781361741862592,0.9691434599840731
Random Forest,3.134873331447094,5.0813501482247965,0.9651500413546519
Linear Regression,3.6455835864368225,5.6190692702336795,0.9573839891843547
Decision Tree,4.210585897394315,7.429089790399717,0.9255070390729608
