Junction,MAE,RMSE,R2
1,4.231007196194504,6.111375705341245,0.9370202689371979
2,2.5334259125970022,3.251497317467744,0.8542146384185466
3,3.166170741704859,6.071738122417422,0.6868801153660476
4,1.8788143805788464,2.580274310661723,0.48338501987151206
